subset,metric,predicted,actual,n,prevalence,source,model,mean_dist
dist_bin0,aucroc,0.6134420972210566,0.7630726575456053,1504,0.2872340425531915,seen_test,nettcr,-3.262627235475151
dist_bin1,aucroc,0.6060009228031011,0.583561982622654,1504,0.25398936170212766,seen_test,nettcr,-3.0556155824057636
dist_bin2,aucroc,0.5402938015560086,0.5289818011336999,1504,0.21010638297872342,seen_test,nettcr,-3.007355574123783
dist_bin3,aucroc,0.5109300356523758,0.4906922293771141,1504,0.2214095744680851,seen_test,nettcr,-2.976203218894754
dist_bin4,aucroc,0.5080637403016008,0.5023732364398179,1504,0.20345744680851063,seen_test,nettcr,-2.9440069065932954
dist_bin5,aucroc,0.5047488450623974,0.4772246882265906,1504,0.22739361702127658,seen_test,nettcr,-2.8854112665761065
dist_bin6,aucroc,0.457549930134649,0.36688072608956246,1504,0.15226063829787234,seen_test,nettcr,-1.054723026038532
dist_bin7,aucroc,0.4569570520305045,0.34666760881854153,1510,0.19205298013245034,seen_test,nettcr,0.34648584629061263
dist_bin0,aucroc,0.37143154464217115,0.5806437307647961,2051,0.20136518771331058,unseen_fold34,nettcr,-1.8706143473337216
dist_bin1,aucroc,0.3911145456617458,0.47240315526397997,2051,0.14188200877620674,unseen_fold34,nettcr,0.08991602149537467
dist_bin2,aucroc,0.3826428003035335,0.32192933167997106,2051,0.17942467089224767,unseen_fold34,nettcr,0.6970866705525249
dist_bin3,aucroc,0.386468217751073,0.357164070408859,2051,0.24329595319356412,unseen_fold34,nettcr,0.7947092461828106
dist_bin4,aucroc,0.38660339590567794,0.3518413015022128,2051,0.25646026328620186,unseen_fold34,nettcr,0.8565861451972439
dist_bin5,aucroc,0.39028231611240566,0.3404969227874976,2051,0.2296440760604583,unseen_fold34,nettcr,0.9277610331342326
dist_bin6,aucroc,0.3870756663707718,0.31414495902781975,2051,0.2091662603607996,unseen_fold34,nettcr,1.0169195830512545
dist_bin7,aucroc,0.3870242392187224,0.34492665960985935,2055,0.18929440389294405,unseen_fold34,nettcr,1.1230369400600742
dist_bin0,aucroc,0.5441572533272862,0.5303780301746059,864,0.19675925925925927,v3_combined,nettcr,-3.1046088872767985
dist_bin1,aucroc,0.42733671756004277,0.45027803856431003,864,0.21180555555555555,v3_combined,nettcr,-2.913530172786286
dist_bin2,aucroc,0.3948413053672635,0.42021099289182784,864,0.18171296296296297,v3_combined,nettcr,-1.2663638940229935
